countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Guatemala,7849691,8070818,8296489,8532102,8775548,9024776,9272590,9522264,9779762,10043715,10312999,10583526,10857754,11139145,11422977,11697592,11969424,12246922,12525844,12807410,13087638,13367454,13652042,13935173,14215615,14500117,14792122,15089639,15387341,15681725,15971745,16268760,16567362,16845688,17103802,17357331,17598654
Guinea-Bissau,897707,912128,926872,942066,957793,973681,994641,1024365,1058754,1092038,1119951,1143542,1165550,1187478,1210211,1234746,1261281,1289316,1318809,1349570,1381590,1415315,1450990,1488060,1526384,1566350,1608084,1651425,1695978,1741125,1786461,1831899,1877074,1922166,1967704,2013259,2058842
Guyana,771483,768104,764125,759675,754872,749893,747869,749919,752970,755822,758395,760536,762248,763596,764489,764837,764484,763657,763107,762424,760924,758978,756874,754615,752095,749258,746158,746297,750021,754230,758785,763552,768483,791563,807667,807487,815484
Haiti,6190868,6316123,6445124,6578150,6714732,6854444,6995456,7136576,7278182,7419777,7562551,7707560,7854304,8002146,8151302,8303151,8455916,8607647,8759912,8910267,9061274,9216568,9373301,9530783,9689586,9803299,9914904,10069769,10222365,10373241,10523249,10671460,10817758,10962373,11105164,11243847,11374592
Honduras,4323339,4448906,4576911,4707684,4841842,4980491,5123796,5271437,5423253,5579247,5739636,5903962,6071458,6234437,6400469,6577780,6757992,6938867,7119213,7299005,7478362,7656831,7834805,8012590,8189904,8365882,8540587,8715080,8889277,9063127,9237305,9412380,9588143,9765209,9943637,10119637,10289882
Hong Kong,5393122,5451436,5486376,5514905,5540574,5560598,5628090,5759557,5902508,6042260,6177105,6302468,6416672,6521332,6616524,6704664,6774243,6821411,6858906,6888164,6908482,6931090,6971344,7020689,7064465,7101612,7142969,7201060,7264330,7319503,7366411,7408005,7444890,7471189,7485816,7490240,7484604
Hungary,10547258,10511100,10475104,10440534,10403420,10381280,10378175,10371477,10356868,10339937,10322790,10302236,10278600,10251715,10219797,10190596,10166692,10138462,10108970,10085789,10065704,10049947,10034084,10016655,10001382,9979129,9946675,9916620,9889344,9862843,9839210,9810530,9785606,9774395,9770346,9749460,9707848
Iceland,241414,243196,245865,249732,252861,254844,257814,261087,263758,266061,267517,268968,271193,274119,277450,281294,285060,287609,289615,292171,296851,303883,311661,317519,318619,318163,319140,320847,323891,327516,330962,335572,343536,352861,360709,366626,372649
India,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810,84810
Indonesia,166776182,170175064,173511158,176855069,180201637,183501097,186778237,190043743,193305171,196591830,199888054,203204352,206536090,209826791,213004666,216077791,219097906,222088499,225048004,227926647,230871649,233951650,237062339,240157901,243220024,246305326,249470029,252698526,255852466,258877397,261799249,264627428,267346655,269951847,272489379,274814864,276758056
Iran,49582288,51446047,53323493,55072694,56704919,58380097,59986931,61184982,61403548,61520597,62205571,62881296,63639637,64519866,65445389,66418662,67452003,68011316,68769345,70256316,71828456,73392746,74602646,75514200,76457832,77420852,78383602,79370583,80414688,81502045,82619365,83812229,85026761,86118000,87051647,87723446,88455491
Iraq,15683430,16074147,16521051,16908823,17364553,17581208,17767257,18300849,19201194,20139819,20825860,21501321,22176603,22884401,23636530,24424059,25197841,26006558,26802660,27577878,28407450,28616518,28391605,28971042,30058207,31045365,32161425,33654841,35281987,36550059,37560535,38469629,39337357,40265629,41192172,42116604,43071210
Ireland,3531274,3541875,3540381,3525093,3511071,3514015,3534260,3558417,3576120,3590161,3610696,3638507,3672287,3711075,3752937,3802590,3862978,3928440,3992938,4066064,4155282,4268774,4393518,4485992,4533750,4559083,4579604,4600137,4624687,4658237,4702497,4753505,4810258,4872557,4933491,4982604,5028430
Israel,4105362,4168965,4236875,4307326,4381512,4544995,4779892,4957239,5086041,5216699,5354736,5499554,5646476,5790142,5946079,6111195,6259977,6387714,6502821,6615084,6728208,6844028,6962456,7082621,7206096,7336737,7471021,7607784,7749369,7897173,8052915,8210005,8361796,8510068,8657466,8800379,8942925
Italy,56855498,56875982,56891919,56928746,56976750,57031457,57075393,57124992,57170761,57420136,57403344,57162098,57189272,57215190,57240797,57272200,57305758,57420635,57739696,58176735,58519697,58754433,59108723,59561686,59904016,60164212,60367882,60531522,60653865,60664169,60575314,60478103,60390317,60277496,60130136,59912763,59729354
